"Color","Shape","Effect","Market Price"
"Clear","Spindle","Sustains creature without food or water","4,000 gp"
"Dusty rose","Prism","+1 insight bonus to AC","5,000 gp"
"Deep red","Sphere","+2 enhancement bonus to Dexterity","8,000 gp"
"Incandescent blue","Sphere","+2 enhancement bonus to Wisdom","8,000 gp"
"Pale blue","Rhomboid","+2 enhancement bonus to Strength","8,000 gp"
"Pink","Rhomboid","+2 enhancement bonus to Constitution","8,000 gp"
"Pink and green","Sphere","+2 enhancement bonus to Charisma","8,000 gp"
"Scarlet and blue","Sphere","+2 enhancement bonus to Intelligence","8,000 gp"
"Dark blue","Rhomboid","Alertness (as the feat)","10,000 gp"
"Vibrant purple","Prism","Stores three levels of spells, as a ring of spell storing","36,000 gp"
"Iridescent","Spindle","Sustains creature without air","18,000 gp"
"Pale lavender","Ellipsoid","Absorbs spells of 4th level or lower 1","20,000 gp"
"Pearly white","Spindle","Regenerate 1 point of damage per hour","20,000 gp"
"Pale green","Prism","+1 competence bonus on attack rolls, saves, skill checks, and ability checks","30,000 gp"
"Orange","Prism","+1 caster level","30,000 gp"
"Lavender and green","Ellipsoid","Absorbs spells of 8th level or lower 2","40,000 gp"
"1 After absorbing twenty spell levels, the stone burns out and turns to dull gray, forever useless."
"2 After absorbing fifty spell levels, the stone burns out and turns dull gray, forever useless."

